,X.1,X,EcoliGeneName,EcoliLocus,NP_Ecoli,EcoliProtein,EcoliProteinCluster,SalmonellaProtein,SalmonellaCluster,NP_Salmonella,SalmonellaGeneName,SalmonellaLocus,State
658,753,1584,ynfM,b1596,NP_416113,WP_000091840.1,PCLA_880142,WP_000091796.1,PCLA_880142,NP_460446,ynfM,STM1486,MATCH
660,755,1588,ydgE,b1599,NP_416116,WP_000046661.1,PCLA_430892,WP_001183821.1,PCLA_430892,NP_460443,ydgE,STM1483,MATCH
661,756,1589,ydgF,b1600,NP_416117,WP_000276149.1,PCLA_430711,WP_000500278.1,PCLA_430711,NP_460442,ydgF,STM1482,MATCH
662,758,1591,pntB,b1602,NP_416119,WP_000014036.1,PCLA_419581,WP_000014056.1,PCLA_419581,NP_460440,pntB,STM1480,MATCH
663,759,1592,pntA,b1603,NP_416120,WP_001300486.1,PCLA_419569,WP_001219362.1,PCLA_419569,NP_460439,pntA,STM1479,MATCH
664,760,1593,ydgH,b1604,NP_416121,WP_000769303.1,PCLA_880144,WP_000769294.1,PCLA_880144,NP_460438,ydgH,STM1478,MATCH
665,761,1594,ydgI,b1605,NP_416122,WP_000412379.1,PCLA_880145,WP_000412353.1,PCLA_880145,NP_460437,ydgI,STM1477,MATCH
666,762,1598,rstB,b1609,NP_416126,WP_000732512.1,PCLA_430848,WP_000732951.1,PCLA_430848,NP_460432,rstB,STM1471,MATCH
667,764,1600,fumC,b1611,NP_416128,WP_001099085.1,PCLA_414143,WP_000259121.1,PCLA_414143,NP_460430,fumC,STM1469,MATCH
668,765,1603,ydgA,b1614,NP_416131,WP_001043339.1,PCLA_880147,WP_000753326.1,PCLA_880147,NP_460427,ydgA,STM1466,MATCH
669,766,1612,add,b1623,NP_416140,WP_000567490.1,PCLA_2400760,WP_000565569.1,PCLA_2400760,NP_460426,add,STM1463,MATCH
670,767,1615,ydgT,b1625,NP_416142,WP_000217950.1,PCLA_430655,WP_000217946.1,PCLA_430655,NP_460424,ydgT,STM1461,MATCH
671,769,1618,ydgM,b1628,NP_416145,WP_000991805.1,PCLA_208998,WP_001092597.1,PCLA_208998,NP_460421,ydgM,STM1458,MATCH
672,770,1620,ydgO,b1630,NP_416147,WP_000231927.1,PCLA_414372,WP_000231891.1,PCLA_414372,NP_460419,ydgO,STM1456,MATCH
673,772,1622,ydgQ,b1632,NP_416149,WP_001289652.1,PCLA_2549457,WP_001289628.1,PCLA_2549457,NP_460417,ydgQ,STM1454,MATCH
674,774,1625,gst,b1635,NP_416152,WP_000765749.1,PCLA_430790,WP_000765727.1,PCLA_430790,NP_460414,gst,STM1451,MATCH
675,775,1626,pdxY,b1636,NP_416153,WP_001307229.1,PCLA_209601,WP_000789732.1,PCLA_209601,NP_460413,pdxY,STM1450,MATCH
676,776,1627,tyrS,b1637,NP_416154,WP_001295400.1,PCLA_3308486,WP_000168626.1,PCLA_3308486,NP_460412,tyrS,STM1449,MATCH
677,777,1628,pdxH,b1638,NP_416155,WP_001282319.1,PCLA_209524,WP_001282334.1,PCLA_209524,NP_460411,pdxH,STM1448,MATCH
678,778,1630,ydhH,b1640,NP_416157,WP_000835039.1,PCLA_419674,WP_000835011.1,PCLA_419674,NP_460409,ydhH,STM1446,MATCH
680,781,1636,sodC,b1646,NP_416163,WP_001296937.1,PCLA_430560,WP_000826819.1,PCLA_430560,NP_460403,sodC,STM1440,MATCH
681,782,1640,nemA,b1650,NP_416167,WP_000093589.1,PCLA_430849,WP_000092932.1,PCLA_430849,NP_460399,nemA,STM1436,MATCH
682,783,1641,gloA,b1651,NP_416168,WP_001237796.1,PCLA_430561,WP_001237787.1,PCLA_430561,NP_460398,gloA,STM1435,MATCH
683,784,1642,rnt,b1652,NP_416169,WP_001282283.1,PCLA_209050,WP_001282267.1,PCLA_209050,NP_460397,rnt,STM1434,MATCH
684,785,1644,ydhD,b1654,NP_416171,WP_000108172.1,PCLA_431060,WP_000108176.1,PCLA_431060,NP_460396,ydhD,STM1433,MATCH
685,786,1645,ydhO,b1655,NP_416172,WP_000101193.1,PCLA_880156,WP_001081022.1,PCLA_880156,NP_460395,ydhO,STM1432,MATCH
686,787,1646,sodB,b1656,NP_416173,WP_000007283.1,PCLA_430791,WP_000007299.1,PCLA_430791,NP_460394,sodB,STM1431,MATCH
687,788,1650,ydhB,b1659,NP_416176,WP_000269501.1,PCLA_431286,WP_000269523.1,PCLA_431286,NP_460392,ydhB,STM1429,MATCH
688,789,1652,cfa,b1661,NP_416178,WP_000098896.1,PCLA_431781,WP_000098879.1,PCLA_431781,NP_460390,cfa,STM1427,MATCH
689,790,1653,ribE,b1662,NP_416179,WP_000493947.1,PCLA_703291,WP_000493971.1,PCLA_703291,NP_460389,ribE,STM1426,MATCH
692,793,1665,pykF,b1676,NP_416191,WP_001295403.1,PCLA_419501,WP_000751447.1,PCLA_419501,NP_460343,pykF,STM1378,MATCH
693,794,1666,lpp,b1677,NP_416192,WP_000648420.1,PCLA_2912506,WP_001082307.1,PCLA_2912506,NP_460342,lpp,STM1377,MATCH
694,795,1667,ynhG,b1678,NP_416193,WP_000817105.1,PCLA_2944750,WP_000817059.1,PCLA_2944750,NP_460340,ynhG,STM1375,MATCH
695,796,1668,ynhA,b1679,NP_416194,WP_001196530.1,PCLA_213123,WP_000729468.1,PCLA_213123,NP_460339,ynhA,STM1374,MATCH
696,797,1669,sufS,b1680,NP_416195,WP_000577988.1,PCLA_431108,WP_000143859.1,PCLA_431108,NP_460338,sufS,STM1373,MATCH
697,798,1670,sufD,b1681,NP_416196,WP_000907979.1,PCLA_431177,WP_000907925.1,PCLA_431177,NP_460337,sufD,STM1372,MATCH
698,799,1671,sufC,b1682,NP_416197,WP_000948863.1,PCLA_419670,WP_000948902.1,PCLA_419670,NP_460336,sufC,STM1371,MATCH
699,800,1673,sufA,b1684,NP_416199,WP_000367160.1,PCLA_213307,WP_000418970.1,PCLA_213307,NP_460334,sufA,STM1369,MATCH
700,801,1676,ydiJ,b1687,NP_416202,WP_000613008.1,PCLA_870246,WP_000612921.1,PCLA_870246,NP_460330,ydiJ,STM1365,MATCH
701,802,1677,ydiK,b1688,NP_416203,WP_000248636.1,PCLA_431205,WP_000248615.1,PCLA_431205,NP_460329,ydiK,STM1364,MATCH
702,803,1679,ydiM,b1690,NP_416205,WP_000795537.1,PCLA_880164,WP_000797678.1,PCLA_880164,NP_460327,ydiM,STM1361,MATCH
703,804,1681,ydiB,b1692,NP_416207,WP_000383469.1,PCLA_625131,WP_000383490.1,PCLA_625131,NP_460325,ydiB,STM1359,MATCH
704,805,1685,ydiP,b1696,NP_416211,WP_000284799.1,PCLA_880167,WP_000284836.1,PCLA_880167,NP_460321,ydiP,STM1355,MATCH
705,806,1686,ydiQ,b1697,NP_416212,WP_000692135.1,PCLA_3491840,WP_000692105.1,PCLA_3491840,NP_460320,ydiQ,STM1354,MATCH
706,807,1687,ydiR,b1698,NP_416213,WP_000080722.1,PCLA_207335,WP_001015871.1,PCLA_207335,NP_460319,ydiR,STM1353,MATCH
707,808,1691,pps,b1702,NP_416217,WP_000069375.1,PCLA_210307,WP_000069340.1,PCLA_210307,NP_460315,pps,STM1349,MATCH
708,809,1692,ydiA,b1703,NP_416218,WP_000368046.1,PCLA_3033250,WP_000370992.1,PCLA_3033250,NP_460314,ydiA,STM1348,MATCH
709,810,1693,aroH,b1704,NP_416219,WP_001082229.1,PCLA_4965578,WP_001082196.1,PCLA_4965578,NP_460313,aroH,STM1347,MATCH
710,811,1695,ydiU,b1706,NP_416221,WP_000175703.1,PCLA_413941,WP_000175669.1,PCLA_413941,NP_460311,ydiU,STM1345,MATCH
711,812,1696,ydiV,b1707,NP_416222,WP_001300634.1,PCLA_880169,WP_000562005.1,PCLA_880169,NP_460310,ydiV,STM1344,MATCH
712,813,1697,nlpC,b1708,NP_416223,WP_001209795.1,PCLA_880170,WP_001213256.1,PCLA_880170,NP_460309,nlpC,STM1343,MATCH
713,814,1698,btuD,b1709,NP_416224,WP_000029474.1,PCLA_416047,WP_000080607.1,PCLA_416047,NP_460308,btuD,STM1342,MATCH
714,815,1700,btuC,b1711,NP_416226,WP_000956528.1,PCLA_416105,WP_000954984.1,PCLA_416105,NP_460306,btuC,STM1340,MATCH
715,816,1701,himA,b1712,NP_416227,WP_001229265.1,PCLA_123124,WP_001229266.1,PCLA_123124,NP_460305,himA,STM1339,MATCH
716,817,1703,pheS,b1714,NP_416229,WP_000018596.1,PCLA_3057613,WP_000018570.1,PCLA_3057613,NP_460303,pheS,STM1337,MATCH
717,818,1705,rplT,b1716,NP_416231,WP_000124850.1,PCLA_209066,WP_000124850.1,PCLA_209066,NP_460302,rplT,STM1336,MATCH
718,819,1708,thrS,b1719,NP_416234,WP_001144202.1,PCLA_414099,WP_001144223.1,PCLA_414099,NP_460299,thrS,STM1333,MATCH
719,820,1711,ydiY,b1722,NP_416236,WP_000771391.1,PCLA_880172,WP_000770981.1,PCLA_880172,NP_460293,ydiY,STM1327,MATCH
720,821,1713,ydiZ,b1724,NP_416238,WP_000146159.1,PCLA_880173,WP_000146127.1,PCLA_880173,NP_460291,ydiZ,STM1325,MATCH
722,823,1715,yniB,b1726,NP_416240,WP_000222163.1,PCLA_3603867,WP_000222158.1,PCLA_3603867,NP_460289,yniB,STM1323,MATCH
723,824,1716,yniC,b1727,NP_416241,WP_000106833.1,PCLA_431062,WP_000106848.1,PCLA_431062,NP_460288,yniC,STM1322,MATCH
724,825,1722,celG,b1733,NP_416247,WP_000440471.1,PCLA_415251,WP_000442738.1,PCLA_415251,NP_460283,celG,STM1317,MATCH
725,826,1723,celF,b1734,NP_416248,WP_000078765.1,PCLA_2967718,WP_000078785.1,PCLA_2967718,NP_460282,celF,STM1316,MATCH
726,827,1724,celD,b1735,NP_416249,WP_000983647.1,PCLA_430566,WP_000983393.1,PCLA_430566,NP_460281,celD,STM1315,MATCH
727,828,1725,celC,b1736,NP_416250,WP_000968919.1,PCLA_430712,WP_000459883.1,PCLA_430712,NP_460280,celC,STM1314,MATCH
728,829,1726,celB,b1737,NP_416251,WP_000073041.1,PCLA_430567,WP_000073064.1,PCLA_430567,NP_460279,celB,STM1313,MATCH
729,831,1728,osmE,b1739,NP_416253,WP_001039044.1,PCLA_431414,WP_001039301.1,PCLA_431414,NP_460277,osmE,STM1311,MATCH
730,832,1729,nadE,b1740,NP_416254,WP_000175026.1,PCLA_414341,WP_000174981.1,PCLA_414341,NP_460276,nadE,STM1310,MATCH
732,834,1732,spy,b1743,NP_416257,WP_001228984.1,PCLA_430713,WP_001228998.1,PCLA_430713,NP_460274,spy,STM1308,MATCH
733,835,1733,astE,b1744,NP_416258,WP_000368506.1,PCLA_209200,WP_000368454.1,PCLA_209200,NP_460273,astE,STM1307,MATCH
734,836,1734,astB,b1745,NP_416259,WP_000994973.1,PCLA_858687,WP_000123950.1,PCLA_858687,NP_460272,astB,STM1306,MATCH
735,837,1735,astD,b1746,NP_416260,WP_000177206.1,PCLA_419586,WP_000177268.1,PCLA_419586,NP_460271,astD,STM1305,MATCH
736,838,1736,astA,b1747,NP_416261,WP_000989419.1,PCLA_430714,WP_001263889.1,PCLA_430714,NP_460270,astA,STM1304,MATCH
737,839,1737,astC,b1748,NP_416262,WP_000081983.1,PCLA_535880,WP_000059493.1,PCLA_535880,NP_460269,astC,STM1303,MATCH
738,840,1738,xthA,b1749,NP_416263,WP_000673918.1,PCLA_431809,WP_000673954.1,PCLA_431809,NP_460268,xthA,STM1302,MATCH
739,843,1750,gdhA,b1761,NP_416275,WP_000373021.1,PCLA_419566,WP_000372869.1,PCLA_419566,NP_460265,gdhA,STM1299,MATCH
740,844,1752,topB,b1763,NP_416277,WP_001235800.1,PCLA_429882,WP_001235865.1,PCLA_429882,NP_460264,topB,STM1298,MATCH
741,845,1753,selD,b1764,NP_416278,WP_001295485.1,PCLA_414448,WP_001294900.1,PCLA_414448,NP_460263,selD,STM1297,MATCH
742,846,1754,ydjA,b1765,NP_416279,WP_000339283.1,PCLA_431064,WP_000339313.1,PCLA_431064,NP_460262,ydjA,STM1296,MATCH
743,847,1755,sppA,b1766,NP_416280,WP_001259810.1,PCLA_431178,WP_001259876.1,PCLA_431178,NP_460261,sppA,STM1295,MATCH
744,848,1756,ansA,b1767,NP_416281,WP_001170162.1,PCLA_419589,WP_001170134.1,PCLA_419589,NP_460260,ansA,STM1294,MATCH
745,849,1767,yeaA,b1778,NP_416292,WP_001284618.1,PCLA_2549471,WP_000102941.1,PCLA_2549471,NP_460257,yeaA,STM1291,MATCH
746,850,1768,gapA,b1779,NP_416293,WP_000153502.1,PCLA_4980596,WP_000153505.1,PCLA_4980596,NP_460256,gapA,STM1290,MATCH
747,851,1771,mipA,b1782,NP_416296,WP_000163771.1,PCLA_2939816,WP_000163762.1,PCLA_2939816,NP_460252,mipA,STM1286,MATCH
748,852,1772,yeaG,b1783,NP_416297,WP_001019882.1,PCLA_2912565,WP_001518010.1,PCLA_2912565,NP_460251,yeaG,STM1285,MATCH
749,853,1773,yeaH,b1784,NP_416298,WP_000219687.1,PCLA_209201,WP_000219714.1,PCLA_209201,NP_460250,yeaH,STM1284,MATCH
750,854,1776,yeaK,b1787,NP_416301,WP_000138043.1,PCLA_880201,WP_010989016.1,PCLA_880201,NP_460248,yeaK,STM1282,MATCH
751,855,1778,yeaL,b1789,NP_416303,WP_000460707.1,PCLA_870236,WP_000460698.1,PCLA_870236,NP_460246,yeaL,STM1280,MATCH
752,856,1780,yeaN,b1791,NP_416305,WP_000128491.1,PCLA_880204,WP_000205341.1,PCLA_880204,NP_460244,yeaN,STM1278,MATCH
754,858,1787,yoaG,b1796,NP_416310,WP_000513737.1,PCLA_880207,WP_000513733.1,PCLA_880207,NP_460238,yoaG,STM1272,MATCH
755,859,1788,yeaR,b1797,NP_416311,WP_000939317.1,PCLA_880208,WP_001248987.1,PCLA_880208,NP_460237,yeaR,STM1271,MATCH
756,861,1795,rnd,b1804,NP_416318,WP_001109156.1,PCLA_431065,WP_001109130.1,PCLA_431065,NP_460773,rnd,STM1817,MATCH
757,862,1796,fadD,b1805,NP_416319,WP_000758422.1,PCLA_212804,WP_000758418.1,PCLA_212804,NP_460774,fadD,STM1818,MATCH
759,864,1798,yeaZ,b1807,NP_416321,WP_001220966.1,PCLA_880214,WP_001221014.1,PCLA_880214,NP_460776,yeaZ,STM1820,MATCH
760,865,1799,yoaA,b1808,NP_416322,WP_000128841.1,PCLA_870213,WP_000128807.1,PCLA_870213,NP_460777,yoaA,STM1821,MATCH
761,866,1802,yoaH,b1811,NP_416325,WP_000457334.1,PCLA_417037,WP_000457328.1,PCLA_417037,NP_460779,yoaH,STM1823,MATCH
762,867,1803,pabB,b1812,NP_416326,WP_000854958.1,PCLA_2912575,WP_000978464.1,PCLA_2912575,NP_460780,pabB,STM1824,MATCH
763,868,1804,yeaB,b1813,NP_416327,WP_000456715.1,PCLA_430947,WP_000381544.1,PCLA_430947,NP_460781,yeaB,STM1825,MATCH
764,869,1808,manX,b1817,NP_416331,WP_000150543.1,PCLA_2846203,WP_000150521.1,PCLA_2846203,NP_460786,manX,STM1830,MATCH
765,870,1809,manY,b1818,NP_416332,WP_000406926.1,PCLA_2846180,WP_000406918.1,PCLA_2846180,NP_460787,manY,STM1831,MATCH
766,872,1813,rrmA,b1822,NP_416336,WP_000010115.1,PCLA_431295,WP_000010923.1,PCLA_431295,NP_460791,rrmA,STM1835,MATCH
768,875,1817,yobG,b1826,NP_416340,WP_000714550.1,PCLA_430569,WP_000714547.1,PCLA_430569,NP_460796,yobG,STM1840,MATCH
769,876,1819,kdgR,b1827,NP_416341,WP_001262203.1,PCLA_2846205,WP_001262195.1,PCLA_2846205,NP_460798,kdgR,STM1842,MATCH
770,877,1821,htpX,b1829,NP_416343,WP_000984520.1,PCLA_209327,WP_000984498.1,PCLA_209327,NP_460800,htpX,STM1844,MATCH
771,878,1822,prc,b1830,NP_416344,WP_001055791.1,PCLA_431373,WP_001091237.1,PCLA_431373,NP_460801,prc,STM1845,MATCH
772,879,1825,yebS,b1833,NP_416347,WP_001207282.1,PCLA_870030,WP_001207294.1,PCLA_870030,NP_460804,yebS,STM1848,MATCH
773,881,1834,holE,b1842,NP_416356,WP_000916763.1,PCLA_431193,WP_000856224.1,PCLA_431193,NP_460833,holE,STM1876,MATCH
774,882,1836,exoX,b1844,NP_416358,WP_000944256.1,PCLA_418728,WP_000944282.1,PCLA_418728,NP_460835,exoX,STM1878,MATCH
775,883,1837,ptrB,b1845,NP_416359,WP_000936927.1,PCLA_430397,WP_000936999.1,PCLA_430397,NP_460836,ptrB,STM1879,MATCH
776,884,1838,yebE,b1846,NP_416360,WP_000024757.1,PCLA_880231,WP_000024706.1,PCLA_880231,NP_460837,yebE,STM1880,MATCH
777,885,1840,yebG,b1848,NP_416362,WP_000257738.1,PCLA_430346,WP_000257723.1,PCLA_430346,NP_460839,yebG,STM1882,MATCH
778,886,1841,purT,b1849,NP_416363,WP_000173484.1,PCLA_3083655,WP_000173431.1,PCLA_3083655,NP_460840,purT,STM1883,MATCH
779,887,1842,eda,b1850,NP_416364,WP_000800512.1,PCLA_209563,WP_000800497.1,PCLA_209563,NP_460841,eda,STM1884,MATCH
780,888,1843,edd,b1851,NP_416365,WP_001069467.1,PCLA_212883,WP_001069113.1,PCLA_212883,NP_460842,edd,STM1885,MATCH
781,889,1844,zwf,b1852,NP_416366,WP_000301727.1,PCLA_209567,WP_000301711.1,PCLA_209567,NP_460843,zwf,STM1886,MATCH
782,890,1845,yebK,b1853,NP_416367,WP_001056706.1,PCLA_431447,WP_001056720.1,PCLA_431447,NP_460844,yebK,STM1887,MATCH
783,891,1846,pykA,b1854,NP_416368,WP_000091148.1,PCLA_417277,WP_000091156.1,PCLA_417277,NP_460845,pykA,STM1888,MATCH
784,892,1847,msbB,b1855,NP_416369,WP_000448381.1,PCLA_419394,WP_000448401.1,PCLA_419394,NP_460846,msbB,STM1889,MATCH
785,893,1850,znuC,b1858,NP_416372,WP_000202996.1,PCLA_419641,WP_014343851.1,PCLA_419641,NP_460849,znuC,STM1892,MATCH
786,894,1851,znuB,b1859,NP_416373,WP_000571480.1,PCLA_419640,WP_000571508.1,PCLA_419640,NP_460850,znuB,STM1893,MATCH
787,895,1852,ruvB,b1860,NP_416374,WP_000568519.1,PCLA_5937496,WP_000568508.1,PCLA_5937496,NP_460851,ruvB,STM1894,MATCH
788,897,1856,ruvC,b1863,NP_416377,WP_001295503.1,PCLA_413951,WP_000022509.1,PCLA_413951,NP_460855,ruvC,STM1898,MATCH
789,898,1857,yebC,b1864,NP_416378,WP_000907248.1,PCLA_414013,WP_000907242.1,PCLA_414013,NP_460856,yebC,STM1899,MATCH
790,899,1858,ntpA,b1865,NP_416379,WP_001300367.1,PCLA_419578,WP_000653693.1,PCLA_419578,NP_460857,ntpA,STM1900,MATCH
791,900,1859,aspS,b1866,NP_416380,WP_001258678.1,PCLA_3083665,WP_001258636.1,PCLA_3083665,NP_460858,aspS,STM1901,MATCH
792,901,1861,yecE,b1868,NP_416382,WP_000639274.1,PCLA_430572,WP_000639226.1,PCLA_430572,NP_460860,yecE,STM1903,MATCH
793,902,1863,yecO,b1870,NP_416384,WP_000019590.1,PCLA_2846280,WP_000019609.1,PCLA_2846280,NP_460862,yecO,STM1905,MATCH
794,903,1864,yecP,b1871,NP_416385,WP_000564725.1,PCLA_2846183,WP_000569041.1,PCLA_2846183,NP_460863,yecP,STM1906,MATCH
795,904,1869,argS,b1876,NP_416390,WP_001025322.1,PCLA_3014417,WP_001025361.1,PCLA_3014417,NP_460866,argS,STM1909,MATCH
796,906,1872,flhA,b1879,NP_416393,WP_000066951.1,PCLA_3399572,WP_000002386.1,PCLA_3399572,NP_460870,flhA,STM1913,MATCH
797,907,1873,flhB,b1880,NP_416394,WP_001278954.1,PCLA_209547,WP_000797081.1,PCLA_209547,NP_460871,flhB,STM1914,MATCH
798,908,1874,cheZ,b1881,NP_416395,WP_000983609.1,PCLA_431356,WP_000983586.1,PCLA_431356,NP_460872,cheZ,STM1915,MATCH
799,910,1876,cheB,b1883,NP_416397,WP_000036361.1,PCLA_414329,WP_000036392.1,PCLA_414329,NP_460874,cheB,STM1917,MATCH
800,912,1880,cheW,b1887,NP_416401,WP_000147302.1,PCLA_430856,WP_000147295.1,PCLA_430856,NP_460877,cheW,STM1920,MATCH
801,913,1881,cheA,b1888,NP_416402,WP_001350517.1,PCLA_3365211,WP_000061302.1,PCLA_3365211,NP_460878,cheA,STM1921,MATCH
802,914,1882,motB,b1889,NP_416403,WP_000795630.1,PCLA_212870,WP_000795653.1,PCLA_212870,NP_460879,motB,STM1922,MATCH
803,916,1884,flhC,b1891,NP_416405,WP_001291603.1,PCLA_624532,WP_000605987.1,PCLA_624532,NP_460881,flhC,STM1924,MATCH
804,917,1888,yecG,b1895,NP_416409,WP_000122416.1,PCLA_430398,WP_000122606.1,PCLA_430398,NP_460884,yecG,STM1927,MATCH
805,918,1889,otsA,b1896,NP_416410,WP_001295646.1,PCLA_430399,WP_000089042.1,PCLA_430399,NP_460885,otsA,STM1928,MATCH
806,920,1894,ftnB,b1902,NP_416415,WP_000179469.1,PCLA_2846137,WP_000741707.1,PCLA_2846137,NP_460888,ftnB,STM1932,MATCH
807,921,1898,ftn,b1905,NP_416418,WP_000917208.1,PCLA_430574,WP_000920611.1,PCLA_430574,NP_460891,ftn,STM1935,MATCH
808,922,1899,yecH,b1906,NP_416419,WP_000377225.1,PCLA_880241,WP_000377238.1,PCLA_880241,NP_460892,yecH,STM1936,MATCH
809,923,1900,tyrP,b1907,NP_416420,WP_000797560.1,PCLA_2846247,WP_001562965.1,PCLA_2846247,NP_460893,tyrP,STM1937,MATCH
810,924,1901,yecA,b1908,NP_416421,WP_000847902.1,PCLA_430660,WP_000781520.1,PCLA_430660,NP_460894,yecA,STM1938,MATCH
811,925,1902,pgsA,b1912,NP_416422,WP_001160187.1,PCLA_431067,WP_001160192.1,PCLA_431067,NP_460898,pgsA,STM1945,MATCH
812,927,1905,yecF,b1915,NP_416425,WP_000106474.1,PCLA_430857,WP_000106483.1,PCLA_430857,NP_460902,yecF,STM1949,MATCH
813,928,1907,yecC,b1917,NP_416427,WP_001272991.1,PCLA_431421,WP_001273026.1,PCLA_431421,NP_460904,yecC,STM1951,MATCH
814,930,1910,fliY,b1920,NP_416430,WP_001296168.1,PCLA_431418,WP_000761635.1,PCLA_431418,NP_460907,fliY,STM1954,MATCH
815,931,1915,fliS,b1925,NP_416435,WP_000270671.1,PCLA_209530,WP_000287764.1,PCLA_209530,NP_460914,fliS,STM1961,MATCH
816,932,1917,amyA,b1927,NP_416437,WP_001245695.1,PCLA_419580,WP_000795487.1,PCLA_419580,NP_460916,amyA,STM1963,MATCH
817,933,1918,yedD,b1928,NP_416438,WP_001350519.1,PCLA_430661,WP_000754695.1,PCLA_430661,NP_460917,yedD,STM1964,MATCH
818,934,1919,yedE,b1929,NP_416439,WP_000118897.1,PCLA_431304,WP_000580669.1,PCLA_431304,NP_460918,yedE,STM1965,MATCH
819,935,1920,yedF,b1930,NP_416440,WP_000790504.1,PCLA_431234,WP_000790504.1,PCLA_431234,NP_460919,yedF,STM1966,MATCH
820,936,1925,fliE,b1937,NP_416447,WP_001274299.1,PCLA_123093,WP_000719036.1,PCLA_123093,NP_460921,fliE,STM1968,MATCH
821,937,1927,fliG,b1939,NP_416449,WP_000067950.1,PCLA_209531,WP_000067735.1,PCLA_209531,NP_460923,fliG,STM1970,MATCH
822,938,1929,fliI,b1941,NP_416451,WP_000213294.1,PCLA_211797,WP_000213257.1,PCLA_211797,NP_460925,fliI,STM1972,MATCH
823,939,1930,fliJ,b1942,NP_416452,WP_000807579.1,PCLA_209534,WP_000046981.1,PCLA_209534,NP_460926,fliJ,STM1973,MATCH
824,940,1932,fliL,b1944,NP_416454,WP_000133106.1,PCLA_210860,WP_000132169.1,PCLA_210860,NP_460928,fliL,STM1975,MATCH
825,941,1933,fliM,b1945,NP_416455,WP_001350520.1,PCLA_417921,WP_000502811.1,PCLA_417921,NP_460929,fliM,STM1976,MATCH
826,942,1934,fliN,b1946,NP_416456,WP_001282101.1,PCLA_418715,WP_001282115.1,PCLA_418715,NP_460930,fliN,STM1977,MATCH
827,943,1936,fliP,b1948,NP_416458,WP_001253441.1,PCLA_209544,WP_001253410.1,PCLA_209544,NP_460932,fliP,STM1979,MATCH
828,944,1937,fliQ,b1949,NP_416459,WP_000187358.1,PCLA_209545,WP_000187355.1,PCLA_209545,NP_460933,fliQ,STM1980,MATCH
829,945,1938,fliR,b1950,NP_416460,WP_000942319.1,PCLA_209546,WP_000616953.1,PCLA_209546,NP_460934,fliR,STM1981,MATCH
830,946,1939,rcsA,b1951,NP_416461,WP_000104001.1,PCLA_2912521,WP_000103974.1,PCLA_2912521,NP_460935,rcsA,STM1982,MATCH
831,947,1945,yedI,b1958,NP_416467,WP_000922686.1,PCLA_430347,WP_000929134.1,PCLA_430347,NP_460940,yedI,STM1989,MATCH
832,948,1946,yedA,b1959,NP_416468,WP_001212226.1,PCLA_431428,WP_001212264.1,PCLA_431428,NP_460941,yedA,STM1990,MATCH
833,950,1948,dcm,b1961,NP_416470,WP_001157239.1,PCLA_430716,WP_001157322.1,PCLA_430716,NP_460943,dcm,STM1992,MATCH
834,951,1949,yedJ,b1962,NP_416471,WP_000365562.1,PCLA_430401,WP_000377041.1,PCLA_430401,NP_460944,yedJ,STM1993,MATCH
836,955,1964,amn,b1982,NP_416489,WP_001060244.1,PCLA_212128,WP_000428191.1,PCLA_212128,NP_460956,amn,STM2009,MATCH
837,956,1965,yeeN,b1983,NP_416490,WP_000532923.1,PCLA_535832,WP_000484490.1,PCLA_535832,NP_463358,yeeN,STM4499,MATCH
838,957,1969,erfK,b1990,NP_416494,WP_001350523.1,PCLA_2846276,WP_001252816.1,PCLA_2846276,NP_460960,erfK,STM2015,MATCH
839,958,1970,cobT,b1991,NP_416495,WP_001166160.1,PCLA_414008,WP_001193983.1,PCLA_414008,NP_460961,cobT,STM2016,MATCH
840,959,1971,cobS,b1992,NP_416496,WP_001326708.1,PCLA_414082,WP_000039997.1,PCLA_414082,NP_460962,cobS,STM2017,MATCH
841,961,1992,sbmC,b2009,NP_416513,WP_001105415.1,PCLA_430307,WP_000384326.1,PCLA_430307,NP_461006,sbmC,STM2061,MATCH
842,962,1994,sbcB,b2011,NP_416515,WP_000980589.1,PCLA_431821,WP_000216711.1,PCLA_431821,NP_461012,sbcB,STM2067,MATCH
843,963,2000,yeeZ,b2016,NP_416520,WP_000754737.1,PCLA_870256,WP_000754712.1,PCLA_870256,NP_461015,yeeZ,STM2070,MATCH
844,964,2004,hisG,b2019,NP_416523,WP_000131782.1,PCLA_414145,WP_000886603.1,PCLA_414145,NP_461016,hisG,STM2071,MATCH
845,965,2005,hisD,b2020,NP_416524,WP_000009594.1,PCLA_414409,WP_000009626.1,PCLA_414409,NP_461017,hisD,STM2072,MATCH
846,966,2006,hisC,b2021,NP_416525,WP_000108941.1,PCLA_501221,WP_000102713.1,PCLA_501221,NP_461018,hisC,STM2073,MATCH
847,967,2008,hisH,b2023,NP_416527,WP_001103560.1,PCLA_858298,WP_001540362.1,PCLA_858298,NP_461020,hisH,STM2075,MATCH
848,968,2010,hisF,b2025,NP_416529,WP_000880182.1,PCLA_2543423,WP_000880125.1,PCLA_2543423,NP_461022,hisF,STM2077,MATCH
849,969,2011,hisI,b2026,NP_416530,WP_000954911.1,PCLA_415523,WP_000954848.1,PCLA_415523,NP_461023,hisI,STM2078,MATCH
850,970,2013,udg,b2028,NP_416532,WP_000704857.1,PCLA_2846172,WP_000704831.1,PCLA_2846172,NP_461025,udg,STM2080,MATCH
